id,title,sentence,ARG0,PRED,ARG1,MOD-TIME,TAG,,,,,,,,,,,TAG MATCH,ARG0 MATCH,PRED MATCH,ARG1 MATCH
0,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Wilayah daratan,Luas,38.140 km²,,CORRECT,,0,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Wilayah daratan,Luas,38.140 km²,,CORRECT,,TRUE,TRUE,TRUE,TRUE
0,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Wilayah daratan,Luas,3.814.000 ha,,CORRECT,,0,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Wilayah daratan,Luas,3.814.000 ha,,CORRECT,,TRUE,TRUE,TRUE,TRUE
1,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Perairan (laut),Luas,110.000 km²,,CORRECT,,1,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Perairan,Luas,110.000 km²,,CORRECT,,TRUE,FALSE,TRUE,TRUE
1,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Perairan (laut),Luas,11.000.000 ha,,CORRECT,,1,Sulawesi Tenggara,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Perairan,Luas,11.000.000 ha,,CORRECT,,TRUE,FALSE,TRUE,TRUE
2,Sulawesi Tenggara,"34 Tahun 1952 Sulawesi Tenggara menjadi satu Kabupaten, yaitu Kabupaten Sulawesi Tenggara dengan ibu Kotanya Baubau.",Kabupaten Sulawesi Tenggara,Jumlah kabupaten,satu,,CORRECT,,2,Sulawesi Tenggara,"34 Tahun 1952 Sulawesi Tenggara menjadi satu Kabupaten, yaitu Kabupaten Sulawesi Tenggara dengan ibu Kotanya Baubau.",Sulawesi Tenggara,Jumlah kabupaten,satu,,CORRECT,,TRUE,FALSE,TRUE,TRUE
3,Sulawesi Tenggara,"29 Tahun 1959, Kabupaten Sulawesi Tenggara yang dimekarkan menjadi empat kabupaten, yaitu:",Kabupaten Sulawesi Tenggara,Jumlah kabupaten,empat,,CORRECT,,3,Sulawesi Tenggara,"29 Tahun 1959, Kabupaten Sulawesi Tenggara yang dimekarkan menjadi empat kabupaten, yaitu:",Kabupaten Sulawesi Tenggara,Jumlah kabupaten,empat,,CORRECT,,TRUE,TRUE,TRUE,TRUE
4,Sulawesi Tenggara,2 Tahun 1964 Sulawesi Tenggara di tetapkan menjadi Daerah Otonom Tingkat I dengan ibu kotanya Kendari.,,,2 Tahun 1964,,INC-NOT-ATTR,,4,Sulawesi Tenggara,2 Tahun 1964 Sulawesi Tenggara di tetapkan menjadi Daerah Otonom Tingkat I dengan ibu kotanya Kendari.,,,2 Tahun 1964,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
5,Sulawesi Tenggara,"Setelah pemekaran, Sulawesi Tenggara mempunyai 15 kabupaten dan 2 kota.",Sulawesi Tenggara,Jumlah kabupaten,15,,CORRECT,,5,Sulawesi Tenggara,"Setelah pemekaran, Sulawesi Tenggara mempunyai 15 kabupaten dan 2 kota.",Sulawesi Tenggara,Jumlah kabupaten,15,,CORRECT,,TRUE,TRUE,TRUE,TRUE
6,Sulawesi Tenggara,"Setelah pemekaran, Sulawesi Tenggara mempunyai 15 kabupaten dan 2 kota.",Sulawesi Tenggara,Jumlah kota,2,,CORRECT,,6,Sulawesi Tenggara,"Setelah pemekaran, Sulawesi Tenggara mempunyai 15 kabupaten dan 2 kota.",Sulawesi Tenggara,Jumla kota,2,,CORRECT,,TRUE,TRUE,FALSE,TRUE
7,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk perempuan,Jumlah populasi,984.987,Tahun 2005,CORRECT,,7,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk perempuan,Jumlah populasi,984.987,2005,CORRECT,,TRUE,TRUE,TRUE,TRUE
