source,sentence,ARG0,PRED,ARG1,TAG,NUM_CATEGORY
Wikipedia,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Provinsi Sulawesi Tenggara,wilayah daratan seluas,38.140 km² ( 3.814.000 ha,CORRECT,QTY
Wikipedia,"Provinsi Sulawesi Tenggara terletak di Jazirah Tenggara Pulau Sulawesi, secara geografis terletak di bagian selatan garis khatulistiwa di antara 02°45' – 06°15' Lintang Selatan dan 120°45' – 124°30' Bujur Timur serta mempunyai wilayah daratan seluas 38.140 km² (3.814.000 ha) dan perairan (laut) seluas 110.000 km² (11.000.000 ha).",Provinsi Sulawesi Tenggara,seluas,110.000 km² ( 11.000.000 ha,INCORRECT,QTY
Wikipedia,"34 Tahun 1952 Sulawesi Tenggara menjadi satu Kabupaten, yaitu Kabupaten Sulawesi Tenggara dengan ibu Kotanya Baubau.",Sulawesi Tenggara,jumlah Kabupaten,satu,CORRECT,CRD
Wikipedia,"Setelah pemekaran, Sulawesi Tenggara mempunyai 15 kabupaten dan 2 kota.",Sulawesi Tenggara,jumlah kabupaten,15,CORRECT,CRD
Wikipedia,"Setelah pemekaran, Sulawesi Tenggara mempunyai 15 kabupaten dan 2 kota.",Sulawesi Tenggara,jumlah kota,2,CORRECT,CRD
Wikipedia,"Laju pertumbuhan penduduk Sulawesi Tenggara selama tahun 1990–2000 adalah 2,79% per tahun dan tahun 2004–2005 menjadi 0,02%.",Laju pertumbuhan penduduk Sulawesi Tenggara selama tahun,persentase tahun dan tahun,"0,02 %",INCORRECT,PRC
Wikipedia,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",penduduk perempuan,jumlah jiwa,984.987,CORRECT,CRD
Wikipedia,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",penduduk perempuan,persentase Struktur umur penduduk Sulawesi Tenggara pada tahun,20.27 %,INCORRECT,PRC
Wikipedia,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",penduduk laki-laki,jumlah jiwa,974.427,CORRECT,CRD
Wikipedia,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",penduduk laki-laki,persentase Struktur umur penduduk Sulawesi Tenggara pada tahun,"49,73 %",INCORRECT,PRC
