sentence_num,token,tag
1,Indonesia,B-GPE
1,mengekspor,O
1,produk,O
1,industri,O
1,skala,O
1,besar,O
1,ke,O
1,Amerika,B-GPE
1,Serikat,I-GPE
1,.,O
2,Ekspor,O
2,dilakukan,O
2,melalui,O
2,Pelabuhan,B-FAC
2,Tanjung,I-FAC
2,Priok,I-FAC
2,",",O
2,Jakarta,B-GPE
2,Utara,I-GPE
2,",",O
2,Selasa,B-DAT
2,(,O
2,15,I-DAT
2,/,O
2,8,I-DAT
2,/,O
2,2018,I-DAT
2,),O
2,.,O
3,Komoditas,O
3,yang,O
3,dikirim,O
3,terdiri,O
3,dari,O
3,50,B-PRC
3,persen,I-PRC
3,sepatu,B-PRD
3,",",O
3,15,B-PRC
3,persen,I-PRC
3,garmen,B-PRD
3,",",O
3,10,B-PRC
3,persen,I-PRC
3,produk,O
3,karet,B-PRD
3,",",O
3,ban,B-PRD
3,dan,O
3,turunannya,O
3,",",O
3,alat,O
3,-,O
3,alat,O
3,elektronik,O
3,10,B-PRC
3,persen,I-PRC
3,",",O
3,dan,O
3,produk,O
3,lainnya,O
3,15,B-PRC
3,persen,I-PRC
3,.,O
4,"""",O
4,Bukan,O
4,bahan,O
4,mentah,O
4,",",O
4,tetapi,O
4,sudah,O
4,bahan,O
4,-,O
4,bahan,O
4,produksi,O
4,",",O
4,produk,O
4,-,O
4,produk,O
4,industri,O
4,yang,O
4,kita,O
4,harapkan,O
4,ini,O
4,akan,O
4,meningkatkan,O
4,ekspor,O
4,kita,O
4,",",O
4,"""",O
4,kata,O
4,Presiden,O
4,dalam,O
4,sambutannya,O
4,pada,O
4,acara,O
4,pelepasan,O
4,ekspor,O
4,di,O
4,Jakarta,B-LOC
4,International,I-LOC
4,Container,I-LOC
4,Terminal,I-LOC
4,(,O
4,JICT,B-LOC
4,),O
4,",",O
4,Selasa,B-DAT
4,(,O
4,15,I-DAT
4,/,O
4,5,I-DAT
4,/,O
4,2018,I-DAT
4,),O
4,.,O
5,Ekspor,O
5,tersebut,O
5,menggunakan,O
