sentence_num,token,tag
0,Kera,NN
0,untuk,SC
0,amankan,VB
0,pesta olahraga,NN
1,Pemerintah,NNP
1,kota,NNP
1,Delhi,NNP
1,mengerahkan,VB
1,monyet,NN
1,untuk,SC
1,mengusir,VB
1,monyet-monyet,NN
1,lain,JJ
1,yang,SC
1,berbadan,VB
1,lebih,RB
1,kecil,JJ
1,dari,IN
1,arena,NN
1,Pesta Olahraga,NNP
1,Persemakmuran,NNP
1,.,Z
2,Beberapa,CD
2,laporan,NN
2,menyebutkan,VB
2,setidaknya,RB
2,10,CD
2,monyet,NN
2,ditempatkan,VB
2,di,IN
2,luar,NN
2,arena,NN
2,lomba,NN
2,dan,CC
2,pertandingan,NN
2,di,IN
2,ibukota,NNP
2,India,NNP
2,.,Z
3,Pemkot,NNP
3,Delhi,NNP
3,memiliki,VB
3,28,CD
3,monyet,NN
3,dan,CC
3,berencana,VB
3,mendatangkan,VB
3,10,CD
3,monyet,NN
3,sejenis,NN
3,dari,IN
3,negara bagian,NNP
3,Rajasthan,NNP
3,.,Z
4,Jumlah,NN
4,monyet,NN
4,di,IN
4,ibukota,NNP
4,India,NNP
4,mencapai,VB
4,ribuan,CD
4,",",Z
4,sebagian besar,NN
4,berada,VB
4,di,IN
4,kantor-kantor,NN
4,pemerintah,NN
4,dan,CC
4,hewan,NN
4,ini,PR
4,dianggap,VB
4,mengganggu,VB
4,ketertiban,NN
4,umum,JJ
4,.,Z
5,Jenis,NN
5,monyet,NN
5,yang,SC
5,dikerahkan,VB
5,pemkot,NN
5,berbadan,VB
5,besar,JJ
5,",",Z
5,berekor,VB
5,panjang,JJ
5,",",Z
5,dan,CC
5,memiliki,VB
5,wajah,NN
5,berwarna,VB
5,hitam,JJ
5,.,Z
6,Monyet,NN
6,ini,PR
6,diikat,VB
6,dengan,IN
6,tali,NN
6,panjang,JJ
6,dan,CC
6,pelatih,NN
6,yang,SC
6,mengawasi,VB
6,mereka,PRP
6,akan,MD
6,melepas,VB
6,tali,NN
6,begitu,SC
6,monyet-monyet,NN
6,kecil,JJ
6,lain,JJ
6,mendekat,VB
6,.,Z
7,Kantor,NNP
7,berita,NNP
7,AFP,NNP
7,melaporkan,VB
7,stadion,NN
7,tinju,NN
7,dan,CC
7,hockey,FW
7,mendapatkan,VB
7,perhatian,NN
7,khusus,JJ
7,karena,SC
7,sering,RB
7,diserbu,VB
7,monyet,NN
7,.,Z
8,Monyet,NN
8,besar,JJ
8,akan,MD
8,dikerahkan,VB
8,di,IN
8,dua,CD
8,stadion,NN
8,untuk,SC
8,mengusir,VB
8,serbuan,NN
8,monyet,NN
8,kecil,JJ
9,"""",Z
9,Monyet,NN
9,besar,JJ
9,akan,MD
9,dikerahkan,VB
9,di,IN
9,dua,CD
9,stadion,NN
9,tersebut,PR
9,untuk,SC
9,mengusir,VB
9,serbuan,NN
9,monyet,NN
9,kecil,JJ
9,",",Z
9,"""",Z
9,kata,VB
9,Devender,NNP
9,Prasad,NNP
9,",",Z
9,pejabat,NN
9,pemerintah,NNP
9,kota,NNP
9,Delhi,NNP
9,kepada,IN
9,kantor berita,NNP
9,AFP,NNP
9,.,Z
10,Selama,IN
10,bertahun-tahun,CD
10,monyet,NN
10,mengganggu,VB
10,warga,NN
10,Delhi,NNP
10,.,Z
11,Binatang,NN
11,ini,PR
11,menaiki,VB
11,kereta,NN
11,metro,NN
11,dan,CC
11,bahkan,RB
11,berkeliaran,VB
11,di,IN
11,kompleks,NN
11,gedung,NN
11,parlemen,NN
11,.,Z
12,Belum,NEG
12,lama,JJ
12,ini,PR
12,kawanan,NN
12,monyet,NN
12,menyerbu,VB
12,kantor,NN
12,perdana menteri,NN
12,dan,CC
12,departemen,NN
12,pertahanan,NN
12,.,Z
13,Binatang,NN
13,ini,PR
13,tidak,NEG
13,bisa,MD
13,dibunuh,VB
13,karena,SC
13,masyarakat,NN
13,India,NNP
13,menganggap,VB
13,mereka,PRP
13,suci,JJ
13,.,Z
14,Selain,CC
14,harus,MD
14,mengusir,VB
14,kawanan,NN
14,monyet,NN
14,",",Z
14,pemkot,NNP
14,Delhi,NNP
14,juga,RB
14,kesulitan,VB
14,mengatasi,VB
14,wabah,NN
14,demam berdarah,NN
14,.,Z
15,Curah,NN
15,hujan,NN
15,yang,SC
15,tinggi,JJ
15,menyebabkan,VB
15,banyak,CD
15,genangan,NN
15,",",Z
15,tempat,NN
15,ideal,JJ
15,bagi,IN
15,nyamuk,NN
15,aedes,NNP
15,berkembang biak,VB
15,.,Z
16,Pemkot,NN
16,telah,MD
16,menempatkan,VB
16,ikan,NN
16,di,IN
16,berbagai,CD
16,genangan,NN
16,air,NN
16,untuk,SC
16,memangsa,VB
16,telur,NN
16,nyamuk,NN
16,.,Z
17,Miliarder,NN
17,AS,NNP
17,jamu,VB
17,orang kaya,NN
17,Cina,NNP
18,Dua,CD
18,miliarder,NN
18,Amerika,NNP
18,Bill,NNP
18,Gates,NNP
18,dan,CC
18,Warren,NNP
18,Buffett,NNP
18,akan,MD
18,mengadakan,VB
18,jamuan,NN
18,makan malam,NN
18,di,IN
18,Beijing,NNP
18,bagi,IN
18,sejumlah,CD
18,orang,NN
18,terkaya,JJ
18,di,IN
18,Cina,NNP
18,.,Z
19,Gates,NNP
19,dan,CC
19,Buffett,NNP
19,mengatakan,VB
19,mereka,PRP
19,berada,VB
19,di,IN
19,Cina,NNP
19,untuk,SC
19,mempelajari,VB
19,kegiatan,NN
19,amal,NN
19,di,IN
19,negara,NN
19,itu,PR
19,.,Z
20,Banyak,CD
20,orang,NN
20,menduga,VB
20,mereka,PRP
20,ingin,RB
20,membujuk,VB
20,para,DT
20,tamu,NN
20,agar,SC
20,lebih,RB
20,banyak,CD
20,menyumbang,VB
20,untuk,IN
20,amal,NN
20,.,Z
21,Kedua,CD
21,orang,NN
21,terkaya,JJ
21,dunia,NN
